"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 12 10:01:49 GMT 2025","Sat Jul 12 10:01:51 GMT 2025","2856","tests","test_cart","","","","test_product_is_displayed_in_products_table in chrome",""
"passed","Sat Jul 12 10:03:09 GMT 2025","Sat Jul 12 10:03:14 GMT 2025","4919","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"broken","Sat Jul 12 10:02:13 GMT 2025","Sat Jul 12 10:02:14 GMT 2025","463","tests","test_cart","","","","test_total_cart_price_drops_after_deleting_product in chrome",""
"passed","Sat Jul 12 10:03:30 GMT 2025","Sat Jul 12 10:03:31 GMT 2025","1524","tests","test_product_page","","","","test_add_product_to_cart in firefox",""
"passed","Sat Jul 12 10:02:49 GMT 2025","Sat Jul 12 10:02:51 GMT 2025","2498","tests","test_login","","","","test_successful_login_after_initial_failed_attempt in chrome",""
"passed","Sat Jul 12 10:03:03 GMT 2025","Sat Jul 12 10:03:08 GMT 2025","4699","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Sat Jul 12 10:03:56 GMT 2025","Sat Jul 12 10:03:58 GMT 2025","1660","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Sat Jul 12 10:02:44 GMT 2025","Sat Jul 12 10:02:46 GMT 2025","1660","tests","test_login","","","","test_login_with_inexistent_user in chrome",""
"passed","Sat Jul 12 10:02:38 GMT 2025","Sat Jul 12 10:02:38 GMT 2025","706","tests","test_login","","","","test_login_with_missing_credentials in firefox",""
"passed","Sat Jul 12 10:02:53 GMT 2025","Sat Jul 12 10:02:55 GMT 2025","1767","tests","test_login","","","","test_successful_login_after_initial_failed_attempt in firefox",""
"passed","Sat Jul 12 10:03:15 GMT 2025","Sat Jul 12 10:03:19 GMT 2025","3977","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"broken","Sat Jul 12 10:02:22 GMT 2025","Sat Jul 12 10:02:22 GMT 2025","446","tests","test_cart","","","","test_can_place_order_succesfully in chrome",""
"passed","Sat Jul 12 10:02:30 GMT 2025","Sat Jul 12 10:02:31 GMT 2025","1682","tests","test_login","","","","test_login_valid_credentials in chrome",""
"broken","Sat Jul 12 10:01:56 GMT 2025","Sat Jul 12 10:01:57 GMT 2025","464","tests","test_cart","","","","test_product_page_details_match_cart_page_details in chrome",""
"passed","Sat Jul 12 10:02:06 GMT 2025","Sat Jul 12 10:02:12 GMT 2025","5969","tests","test_cart","","","","test_total_cart_price_matches_products_total_price in firefox",""
"passed","Sat Jul 12 10:02:39 GMT 2025","Sat Jul 12 10:02:41 GMT 2025","1616","tests","test_login","","","","test_login_with_wrong_password in chrome",""
"passed","Sat Jul 12 10:01:53 GMT 2025","Sat Jul 12 10:01:55 GMT 2025","2140","tests","test_cart","","","","test_product_is_displayed_in_products_table in firefox",""
"passed","Sat Jul 12 10:03:34 GMT 2025","Sat Jul 12 10:03:35 GMT 2025","872","tests","test_products_page","","","","test_all_cards_are_visible_on_start_page in firefox",""
"passed","Sat Jul 12 10:02:35 GMT 2025","Sat Jul 12 10:02:36 GMT 2025","1029","tests","test_login","","","","test_login_with_missing_credentials in chrome",""
"passed","Sat Jul 12 10:02:15 GMT 2025","Sat Jul 12 10:02:21 GMT 2025","5626","tests","test_cart","","","","test_total_cart_price_drops_after_deleting_product in firefox",""
"passed","Sat Jul 12 10:03:52 GMT 2025","Sat Jul 12 10:03:55 GMT 2025","2953","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Sat Jul 12 10:01:58 GMT 2025","Sat Jul 12 10:02:03 GMT 2025","5247","tests","test_cart","","","","test_product_page_details_match_cart_page_details in firefox",""
"passed","Sat Jul 12 10:02:47 GMT 2025","Sat Jul 12 10:02:48 GMT 2025","925","tests","test_login","","","","test_login_with_inexistent_user in firefox",""
"passed","Sat Jul 12 10:02:42 GMT 2025","Sat Jul 12 10:02:43 GMT 2025","934","tests","test_login","","","","test_login_with_wrong_password in firefox",""
