"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1715","test_login_with_inexistent_user in firefox","tests","Wed Dec 10 06:52:25 UTC 2025","passed","Wed Dec 10 06:52:27 UTC 2025","","test_login","",""
"","4880","test_expected_products_are_displayed_with_all_expected_details in chrome","tests","Wed Dec 10 06:53:20 UTC 2025","passed","Wed Dec 10 06:53:25 UTC 2025","","test_products_page","",""
"","2573","test_successful_login_after_initial_failed_attempt in chrome","tests","Wed Dec 10 06:52:28 UTC 2025","passed","Wed Dec 10 06:52:30 UTC 2025","","test_login","",""
"","6176","test_product_details_match_card_details in chrome","tests","Wed Dec 10 06:52:35 UTC 2025","passed","Wed Dec 10 06:52:41 UTC 2025","","test_product_page","",""
"","6433","test_product_page_details_match_cart_page_details in firefox","tests","Wed Dec 10 06:51:17 UTC 2025","passed","Wed Dec 10 06:51:24 UTC 2025","","test_cart","",""
"","2628","test_successful_login_after_initial_failed_attempt in firefox","tests","Wed Dec 10 06:52:32 UTC 2025","passed","Wed Dec 10 06:52:34 UTC 2025","","test_login","",""
"","3764","test_expected_products_are_displayed_with_all_expected_details in firefox","tests","Wed Dec 10 06:53:27 UTC 2025","passed","Wed Dec 10 06:53:30 UTC 2025","","test_products_page","",""
"","1089","test_can_place_order_succesfully in firefox","tests","Wed Dec 10 06:52:04 UTC 2025","broken","Wed Dec 10 06:52:05 UTC 2025","","test_cart","",""
"","2360","test_login_valid_credentials in chrome","tests","Wed Dec 10 06:52:06 UTC 2025","passed","Wed Dec 10 06:52:08 UTC 2025","","test_login","",""
"","7843","test_product_page_details_match_cart_page_details in chrome","tests","Wed Dec 10 06:51:08 UTC 2025","passed","Wed Dec 10 06:51:16 UTC 2025","","test_cart","",""
"","8667","test_total_cart_price_drops_after_deleting_product in chrome","tests","Wed Dec 10 06:51:36 UTC 2025","passed","Wed Dec 10 06:51:45 UTC 2025","","test_cart","",""
"","1819","test_login_with_inexistent_user in chrome","tests","Wed Dec 10 06:52:22 UTC 2025","passed","Wed Dec 10 06:52:24 UTC 2025","","test_login","",""
"","1665","test_expected_products_are_displayed_with_all_expected_details in firefox","tests","Wed Dec 10 06:53:45 UTC 2025","passed","Wed Dec 10 06:53:47 UTC 2025","","test_products_page","",""
"","6042","test_product_details_match_card_details in chrome","tests","Wed Dec 10 06:52:49 UTC 2025","passed","Wed Dec 10 06:52:55 UTC 2025","","test_product_page","",""
"","837","test_total_cart_price_matches_products_total_price in firefox","tests","Wed Dec 10 06:51:34 UTC 2025","broken","Wed Dec 10 06:51:35 UTC 2025","","test_cart","",""
"","1842","test_login_valid_credentials in firefox","tests","Wed Dec 10 06:52:10 UTC 2025","passed","Wed Dec 10 06:52:12 UTC 2025","","test_login","",""
"","1039","test_all_cards_are_visible_on_start_page in firefox","tests","Wed Dec 10 06:53:18 UTC 2025","passed","Wed Dec 10 06:53:19 UTC 2025","","test_products_page","",""
"","3475","test_product_details_match_card_details in chrome","tests","Wed Dec 10 06:53:02 UTC 2025","passed","Wed Dec 10 06:53:06 UTC 2025","","test_product_page","",""
"","3325","test_expected_products_are_displayed_with_all_expected_details in firefox","tests","Wed Dec 10 06:53:37 UTC 2025","passed","Wed Dec 10 06:53:41 UTC 2025","","test_products_page","",""
"","8523","test_can_place_order_succesfully in chrome","tests","Wed Dec 10 06:51:54 UTC 2025","passed","Wed Dec 10 06:52:02 UTC 2025","","test_cart","",""
"","3062","test_product_details_match_card_details in firefox","tests","Wed Dec 10 06:53:07 UTC 2025","passed","Wed Dec 10 06:53:10 UTC 2025","","test_product_page","",""
"","839","test_add_product_to_cart in firefox","tests","Wed Dec 10 06:53:14 UTC 2025","broken","Wed Dec 10 06:53:15 UTC 2025","","test_product_page","",""
"","4762","test_expected_products_are_displayed_with_all_expected_details in chrome","tests","Wed Dec 10 06:53:31 UTC 2025","passed","Wed Dec 10 06:53:36 UTC 2025","","test_products_page","",""
"","1752","test_login_with_wrong_password in chrome","tests","Wed Dec 10 06:52:17 UTC 2025","passed","Wed Dec 10 06:52:18 UTC 2025","","test_login","",""
"","1063","test_login_with_missing_credentials in chrome","tests","Wed Dec 10 06:52:12 UTC 2025","passed","Wed Dec 10 06:52:14 UTC 2025","","test_login","",""
"","7653","test_total_cart_price_matches_products_total_price in chrome","tests","Wed Dec 10 06:51:25 UTC 2025","passed","Wed Dec 10 06:51:32 UTC 2025","","test_cart","",""
"","3748","test_product_is_displayed_in_products_table in chrome","tests","Wed Dec 10 06:50:58 UTC 2025","passed","Wed Dec 10 06:51:02 UTC 2025","","test_cart","",""
"","5390","test_product_details_match_card_details in firefox","tests","Wed Dec 10 06:52:43 UTC 2025","passed","Wed Dec 10 06:52:48 UTC 2025","","test_product_page","",""
"","4631","test_product_details_match_card_details in firefox","tests","Wed Dec 10 06:52:57 UTC 2025","passed","Wed Dec 10 06:53:01 UTC 2025","","test_product_page","",""
"","1862","test_add_product_to_cart in chrome","tests","Wed Dec 10 06:53:11 UTC 2025","passed","Wed Dec 10 06:53:13 UTC 2025","","test_product_page","",""
"","3483","test_product_is_displayed_in_products_table in firefox","tests","Wed Dec 10 06:51:04 UTC 2025","passed","Wed Dec 10 06:51:07 UTC 2025","","test_cart","",""
"","750","test_all_cards_are_visible_on_start_page in chrome","tests","Wed Dec 10 06:53:16 UTC 2025","passed","Wed Dec 10 06:53:17 UTC 2025","","test_products_page","",""
"","6928","test_total_cart_price_drops_after_deleting_product in firefox","tests","Wed Dec 10 06:51:46 UTC 2025","passed","Wed Dec 10 06:51:53 UTC 2025","","test_cart","",""
"","914","test_login_with_missing_credentials in firefox","tests","Wed Dec 10 06:52:15 UTC 2025","passed","Wed Dec 10 06:52:16 UTC 2025","","test_login","",""
"","1174","test_login_with_wrong_password in firefox","tests","Wed Dec 10 06:52:20 UTC 2025","passed","Wed Dec 10 06:52:21 UTC 2025","","test_login","",""
"","2263","test_expected_products_are_displayed_with_all_expected_details in chrome","tests","Wed Dec 10 06:53:42 UTC 2025","passed","Wed Dec 10 06:53:44 UTC 2025","","test_products_page","",""
